date_id,event_type,event_count,utility_id
20141210,Activated,15,1
20141211,Activated,246,1
20141212,Activated,114,1
20141213,Activated,41,1
20141214,Activated,18,1
20141215,Activated,14,1
20141216,Activated,10,1
20141217,Activated,11,1
20141218,Activated,67,1
20141219,Activated,29,1
20141220,Activated,10,1
20141221,Activated,14,1
20141222,Activated,12,1
20141223,Activated,86,1
20141224,Activated,12,1
20141225,Activated,8,1
20141226,Activated,67,1
20141227,Activated,58,1
20141228,Activated,43,1
20141229,Activated,109,1
20141230,Activated,81,1
20141231,Activated,126,1
20141210,ActivationLinkClic,0,1
20141211,ActivationLinkClic,0,1
20141212,ActivationLinkClic,0,1
20141213,ActivationLinkClic,0,1
20141214,ActivationLinkClic,0,1
20141215,ActivationLinkClic,0,1
20141216,ActivationLinkClic,0,1
20141217,ActivationLinkClic,0,1
20141218,ActivationLinkClic,0,1
20141219,ActivationLinkClic,1,1
20141220,ActivationLinkClic,0,1
20141221,ActivationLinkClic,0,1
20141222,ActivationLinkClic,0,1
20141223,ActivationLinkClic,4,1
20141224,ActivationLinkClic,2,1
20141225,ActivationLinkClic,1,1
20141226,ActivationLinkClic,0,1
20141227,ActivationLinkClic,0,1
20141228,ActivationLinkClic,0,1
20141229,ActivationLinkClic,0,1
20141230,ActivationLinkClic,0,1
20141231,ActivationLinkClic,0,1
20141210,BadgeAwarded,25,1
20141211,BadgeAwarded,340,1
20141212,BadgeAwarded,158,1
20141213,BadgeAwarded,61,1
20141214,BadgeAwarded,33,1
20141215,BadgeAwarded,25,1
20141216,BadgeAwarded,27,1
20141217,BadgeAwarded,30,1
20141218,BadgeAwarded,130,1
20141219,BadgeAwarded,58,1
20141220,BadgeAwarded,21,1
20141221,BadgeAwarded,23,1
20141222,BadgeAwarded,25,1
20141223,BadgeAwarded,167,1
20141224,BadgeAwarded,27,1
20141225,BadgeAwarded,14,1
20141226,BadgeAwarded,76,1
20141227,BadgeAwarded,70,1
20141228,BadgeAwarded,55,1
20141229,BadgeAwarded,138,1
20141230,BadgeAwarded,101,1
20141231,BadgeAwarded,195,1
20141210,Enrolled,1,1
20141211,Enrolled,0,1
20141212,Enrolled,1,1
20141213,Enrolled,0,1
20141214,Enrolled,0,1
20141215,Enrolled,0,1
20141216,Enrolled,0,1
20141217,Enrolled,0,1
20141218,Enrolled,0,1
20141219,Enrolled,0,1
20141220,Enrolled,2,1
20141221,Enrolled,0,1
20141222,Enrolled,0,1
20141223,Enrolled,0,1
20141224,Enrolled,2,1
20141225,Enrolled,0,1
20141226,Enrolled,0,1
20141227,Enrolled,0,1
20141228,Enrolled,0,1
20141229,Enrolled,1,1
20141230,Enrolled,0,1
20141231,Enrolled,0,1
20141210,EnrollEmailOpene,0,1
20141211,EnrollEmailOpene,2,1
20141212,EnrollEmailOpene,0,1
20141213,EnrollEmailOpene,0,1
20141214,EnrollEmailOpene,0,1
20141215,EnrollEmailOpene,0,1
20141216,EnrollEmailOpene,0,1
20141217,EnrollEmailOpene,0,1
20141218,EnrollEmailOpene,2,1
20141219,EnrollEmailOpene,4,1
20141220,EnrollEmailOpene,1,1
20141221,EnrollEmailOpene,3,1
20141222,EnrollEmailOpene,2,1
20141223,EnrollEmailOpene,74,1
20141224,EnrollEmailOpene,12,1
20141225,EnrollEmailOpene,6,1
20141226,EnrollEmailOpene,1,1
20141227,EnrollEmailOpene,0,1
20141228,EnrollEmailOpene,0,1
20141229,EnrollEmailOpene,0,1
20141230,EnrollEmailOpene,0,1
20141231,EnrollEmailOpene,0,1
20141210,EnrollEmailSent,0,1
20141211,EnrollEmailSent,13,1
20141212,EnrollEmailSent,0,1
20141213,EnrollEmailSent,0,1
20141214,EnrollEmailSent,0,1
20141215,EnrollEmailSent,0,1
20141216,EnrollEmailSent,0,1
20141217,EnrollEmailSent,0,1
20141218,EnrollEmailSent,14,1
20141219,EnrollEmailSent,0,1
20141220,EnrollEmailSent,0,1
20141221,EnrollEmailSent,0,1
20141222,EnrollEmailSent,0,1
20141223,EnrollEmailSent,426,1
20141224,EnrollEmailSent,1,1
20141225,EnrollEmailSent,0,1
20141226,EnrollEmailSent,0,1
20141227,EnrollEmailSent,0,1
20141228,EnrollEmailSent,0,1
20141229,EnrollEmailSent,0,1
20141230,EnrollEmailSent,0,1
20141231,EnrollEmailSent,0,1
20141210,LoggedIn,169,1
20141211,LoggedIn,1050,1
20141212,LoggedIn,438,1
20141213,LoggedIn,188,1
20141214,LoggedIn,144,1
20141215,LoggedIn,170,1
20141216,LoggedIn,180,1
20141217,LoggedIn,155,1
20141218,LoggedIn,606,1
20141219,LoggedIn,341,1
20141220,LoggedIn,132,1
20141221,LoggedIn,113,1
20141222,LoggedIn,153,1
20141223,LoggedIn,751,1
20141224,LoggedIn,167,1
20141225,LoggedIn,94,1
20141226,LoggedIn,186,1
20141227,LoggedIn,160,1
20141228,LoggedIn,165,1
20141229,LoggedIn,278,1
20141230,LoggedIn,219,1
20141231,LoggedIn,861,1
20141210,OptOutByUtility,0,1
20141211,OptOutByUtility,0,1
20141212,OptOutByUtility,0,1
20141213,OptOutByUtility,0,1
20141214,OptOutByUtility,0,1
20141215,OptOutByUtility,0,1
20141216,OptOutByUtility,0,1
20141217,OptOutByUtility,0,1
20141218,OptOutByUtility,0,1
20141219,OptOutByUtility,0,1
20141220,OptOutByUtility,0,1
20141221,OptOutByUtility,0,1
20141222,OptOutByUtility,0,1
20141223,OptOutByUtility,0,1
20141224,OptOutByUtility,0,1
20141225,OptOutByUtility,0,1
20141226,OptOutByUtility,0,1
20141227,OptOutByUtility,0,1
20141228,OptOutByUtility,0,1
20141229,OptOutByUtility,0,1
20141230,OptOutByUtility,0,1
20141231,OptOutByUtility,0,1
20141210,OptOutSelf,816,1
20141211,OptOutSelf,816,1
20141212,OptOutSelf,816,1
20141213,OptOutSelf,0,1
20141214,OptOutSelf,816,1
20141215,OptOutSelf,816,1
20141216,OptOutSelf,816,1
20141217,OptOutSelf,816,1
20141218,OptOutSelf,816,1
20141219,OptOutSelf,816,1
20141220,OptOutSelf,0,1
20141221,OptOutSelf,816,1
20141222,OptOutSelf,816,1
20141223,OptOutSelf,0,1
20141224,OptOutSelf,0,1
20141225,OptOutSelf,816,1
20141226,OptOutSelf,816,1
20141227,OptOutSelf,816,1
20141228,OptOutSelf,816,1
20141229,OptOutSelf,816,1
20141230,OptOutSelf,816,1
20141231,OptOutSelf,816,1
20141210,PaperToWeb,0,1
20141211,PaperToWeb,0,1
20141212,PaperToWeb,0,1
20141213,PaperToWeb,0,1
20141214,PaperToWeb,0,1
20141215,PaperToWeb,0,1
20141216,PaperToWeb,0,1
20141217,PaperToWeb,0,1
20141218,PaperToWeb,0,1
20141219,PaperToWeb,0,1
20141220,PaperToWeb,0,1
20141221,PaperToWeb,0,1
20141222,PaperToWeb,0,1
20141223,PaperToWeb,0,1
20141224,PaperToWeb,0,1
20141225,PaperToWeb,0,1
20141226,PaperToWeb,0,1
20141227,PaperToWeb,0,1
20141228,PaperToWeb,0,1
20141229,PaperToWeb,0,1
20141230,PaperToWeb,0,1
20141231,PaperToWeb,0,1
20141210,ProgramReferred,16,1
20141211,ProgramReferred,114,1
20141212,ProgramReferred,50,1
20141213,ProgramReferred,24,1
20141214,ProgramReferred,12,1
20141215,ProgramReferred,20,1
20141216,ProgramReferred,12,1
20141217,ProgramReferred,14,1
20141218,ProgramReferred,39,1
20141219,ProgramReferred,26,1
20141220,ProgramReferred,11,1
20141221,ProgramReferred,9,1
20141222,ProgramReferred,11,1
20141223,ProgramReferred,51,1
20141224,ProgramReferred,8,1
20141225,ProgramReferred,9,1
20141226,ProgramReferred,36,1
20141227,ProgramReferred,24,1
20141228,ProgramReferred,28,1
20141229,ProgramReferred,43,1
20141230,ProgramReferred,42,1
20141231,ProgramReferred,99,1
20141210,ProgramVerified,0,1
20141211,ProgramVerified,0,1
20141212,ProgramVerified,0,1
20141213,ProgramVerified,0,1
20141214,ProgramVerified,0,1
20141215,ProgramVerified,0,1
20141216,ProgramVerified,0,1
20141217,ProgramVerified,0,1
20141218,ProgramVerified,0,1
20141219,ProgramVerified,0,1
20141220,ProgramVerified,0,1
20141221,ProgramVerified,0,1
20141222,ProgramVerified,0,1
20141223,ProgramVerified,0,1
20141224,ProgramVerified,0,1
20141225,ProgramVerified,0,1
20141226,ProgramVerified,0,1
20141227,ProgramVerified,0,1
20141228,ProgramVerified,0,1
20141229,ProgramVerified,0,1
20141230,ProgramVerified,0,1
20141231,ProgramVerified,0,1
20141210,RewardRedeemed,16,1
20141211,RewardRedeemed,116,1
20141212,RewardRedeemed,34,1
20141213,RewardRedeemed,16,1
20141214,RewardRedeemed,17,1
20141215,RewardRedeemed,23,1
20141216,RewardRedeemed,23,1
20141217,RewardRedeemed,14,1
20141218,RewardRedeemed,55,1
20141219,RewardRedeemed,42,1
20141220,RewardRedeemed,16,1
20141221,RewardRedeemed,11,1
20141222,RewardRedeemed,17,1
20141223,RewardRedeemed,76,1
20141224,RewardRedeemed,19,1
20141225,RewardRedeemed,10,1
20141226,RewardRedeemed,13,1
20141227,RewardRedeemed,6,1
20141228,RewardRedeemed,9,1
20141229,RewardRedeemed,12,1
20141230,RewardRedeemed,11,1
20141231,RewardRedeemed,75,1
20141210,TipCompleted,91,1
20141211,TipCompleted,406,1
20141212,TipCompleted,192,1
20141213,TipCompleted,89,1
20141214,TipCompleted,68,1
20141215,TipCompleted,87,1
20141216,TipCompleted,90,1
20141217,TipCompleted,84,1
20141218,TipCompleted,249,1
20141219,TipCompleted,153,1
20141220,TipCompleted,61,1
20141221,TipCompleted,63,1
20141222,TipCompleted,69,1
20141223,TipCompleted,282,1
20141224,TipCompleted,78,1
20141225,TipCompleted,40,1
20141226,TipCompleted,71,1
20141227,TipCompleted,73,1
20141228,TipCompleted,81,1
20141229,TipCompleted,106,1
20141230,TipCompleted,97,1
20141231,TipCompleted,350,1
20141210,Unsubscribed,0,1
20141211,Unsubscribed,0,1
20141212,Unsubscribed,0,1
20141213,Unsubscribed,0,1
20141214,Unsubscribed,370,1
20141215,Unsubscribed,243,1
20141216,Unsubscribed,0,1
20141217,Unsubscribed,0,1
20141218,Unsubscribed,0,1
20141219,Unsubscribed,0,1
20141220,Unsubscribed,0,1
20141221,Unsubscribed,212,1
20141222,Unsubscribed,0,1
20141223,Unsubscribed,0,1
20141224,Unsubscribed,0,1
20141225,Unsubscribed,184,1
20141226,Unsubscribed,212,1
20141227,Unsubscribed,0,1
20141228,Unsubscribed,0,1
20141229,Unsubscribed,0,1
20141230,Unsubscribed,0,1
20141231,Unsubscribed,0,1
20141210,Activated,0,2
20141211,Activated,0,2
20141212,Activated,0,2
20141213,Activated,0,2
20141214,Activated,0,2
20141215,Activated,0,2
20141216,Activated,0,2
20141217,Activated,0,2
20141218,Activated,0,2
20141219,Activated,0,2
20141220,Activated,0,2
20141221,Activated,0,2
20141222,Activated,0,2
20141223,Activated,0,2
20141224,Activated,0,2
20141225,Activated,0,2
20141226,Activated,0,2
20141227,Activated,0,2
20141228,Activated,0,2
20141229,Activated,0,2
20141230,Activated,0,2
20141231,Activated,0,2
20141210,ActivationLinkClic,0,2
20141211,ActivationLinkClic,0,2
20141212,ActivationLinkClic,0,2
20141213,ActivationLinkClic,0,2
20141214,ActivationLinkClic,0,2
20141215,ActivationLinkClic,0,2
20141216,ActivationLinkClic,0,2
20141217,ActivationLinkClic,0,2
20141218,ActivationLinkClic,0,2
20141219,ActivationLinkClic,0,2
20141220,ActivationLinkClic,0,2
20141221,ActivationLinkClic,0,2
20141222,ActivationLinkClic,0,2
20141223,ActivationLinkClic,0,2
20141224,ActivationLinkClic,1,2
20141225,ActivationLinkClic,0,2
20141226,ActivationLinkClic,0,2
20141227,ActivationLinkClic,0,2
20141228,ActivationLinkClic,0,2
20141229,ActivationLinkClic,0,2
20141230,ActivationLinkClic,0,2
20141231,ActivationLinkClic,0,2
20141210,BadgeAwarded,0,2
20141211,BadgeAwarded,2,2
20141212,BadgeAwarded,15,2
20141213,BadgeAwarded,3,2
20141214,BadgeAwarded,0,2
20141215,BadgeAwarded,2,2
20141216,BadgeAwarded,6,2
20141217,BadgeAwarded,4,2
20141218,BadgeAwarded,18,2
20141219,BadgeAwarded,1,2
20141220,BadgeAwarded,2,2
20141221,BadgeAwarded,4,2
20141222,BadgeAwarded,1,2
20141223,BadgeAwarded,9,2
20141224,BadgeAwarded,1,2
20141225,BadgeAwarded,3,2
20141226,BadgeAwarded,7,2
20141227,BadgeAwarded,3,2
20141228,BadgeAwarded,2,2
20141229,BadgeAwarded,6,2
20141230,BadgeAwarded,4,2
20141231,BadgeAwarded,13,2
20141210,Enrolled,4,2
20141211,Enrolled,1,2
20141212,Enrolled,4,2
20141213,Enrolled,7,2
20141214,Enrolled,0,2
20141215,Enrolled,0,2
20141216,Enrolled,1,2
20141217,Enrolled,1,2
20141218,Enrolled,2,2
20141219,Enrolled,0,2
20141220,Enrolled,0,2
20141221,Enrolled,0,2
20141222,Enrolled,0,2
20141223,Enrolled,0,2
20141224,Enrolled,0,2
20141225,Enrolled,0,2
20141226,Enrolled,0,2
20141227,Enrolled,0,2
20141228,Enrolled,0,2
20141229,Enrolled,0,2
20141230,Enrolled,0,2
20141231,Enrolled,0,2
20141210,EnrollEmailOpene,0,2
20141211,EnrollEmailOpene,0,2
20141212,EnrollEmailOpene,0,2
20141213,EnrollEmailOpene,0,2
20141214,EnrollEmailOpene,0,2
20141215,EnrollEmailOpene,0,2
20141216,EnrollEmailOpene,0,2
20141217,EnrollEmailOpene,1,2
20141218,EnrollEmailOpene,0,2
20141219,EnrollEmailOpene,0,2
20141220,EnrollEmailOpene,0,2
20141221,EnrollEmailOpene,0,2
20141222,EnrollEmailOpene,1,2
20141223,EnrollEmailOpene,7,2
20141224,EnrollEmailOpene,1,2
20141225,EnrollEmailOpene,1,2
20141226,EnrollEmailOpene,0,2
20141227,EnrollEmailOpene,0,2
20141228,EnrollEmailOpene,0,2
20141229,EnrollEmailOpene,0,2
20141230,EnrollEmailOpene,0,2
20141231,EnrollEmailOpene,0,2
20141210,EnrollEmailSent,0,2
20141211,EnrollEmailSent,0,2
20141212,EnrollEmailSent,0,2
20141213,EnrollEmailSent,0,2
20141214,EnrollEmailSent,0,2
20141215,EnrollEmailSent,0,2
20141216,EnrollEmailSent,1,2
20141217,EnrollEmailSent,1,2
20141218,EnrollEmailSent,1,2
20141219,EnrollEmailSent,0,2
20141220,EnrollEmailSent,1,2
20141221,EnrollEmailSent,0,2
20141222,EnrollEmailSent,0,2
20141223,EnrollEmailSent,71,2
20141224,EnrollEmailSent,1,2
20141225,EnrollEmailSent,0,2
20141226,EnrollEmailSent,0,2
20141227,EnrollEmailSent,0,2
20141228,EnrollEmailSent,0,2
20141229,EnrollEmailSent,0,2
20141230,EnrollEmailSent,0,2
20141231,EnrollEmailSent,0,2
20141210,LoggedIn,5,2
20141211,LoggedIn,6,2
20141212,LoggedIn,37,2
20141213,LoggedIn,9,2
20141214,LoggedIn,5,2
20141215,LoggedIn,6,2
20141216,LoggedIn,12,2
20141217,LoggedIn,4,2
20141218,LoggedIn,33,2
20141219,LoggedIn,9,2
20141220,LoggedIn,10,2
20141221,LoggedIn,7,2
20141222,LoggedIn,13,2
20141223,LoggedIn,25,2
20141224,LoggedIn,5,2
20141225,LoggedIn,7,2
20141226,LoggedIn,9,2
20141227,LoggedIn,10,2
20141228,LoggedIn,7,2
20141229,LoggedIn,16,2
20141230,LoggedIn,7,2
20141231,LoggedIn,40,2
20141210,OptOutByUtility,0,2
20141211,OptOutByUtility,0,2
20141212,OptOutByUtility,0,2
20141213,OptOutByUtility,0,2
20141214,OptOutByUtility,0,2
20141215,OptOutByUtility,0,2
20141216,OptOutByUtility,0,2
20141217,OptOutByUtility,0,2
20141218,OptOutByUtility,0,2
20141219,OptOutByUtility,0,2
20141220,OptOutByUtility,0,2
20141221,OptOutByUtility,0,2
20141222,OptOutByUtility,0,2
20141223,OptOutByUtility,0,2
20141224,OptOutByUtility,0,2
20141225,OptOutByUtility,0,2
20141226,OptOutByUtility,0,2
20141227,OptOutByUtility,0,2
20141228,OptOutByUtility,0,2
20141229,OptOutByUtility,0,2
20141230,OptOutByUtility,0,2
20141231,OptOutByUtility,0,2
20141210,OptOutSelf,1308,2
20141211,OptOutSelf,1308,2
20141212,OptOutSelf,1309,2
20141213,OptOutSelf,0,2
20141214,OptOutSelf,1310,2
20141215,OptOutSelf,1311,2
20141216,OptOutSelf,1311,2
20141217,OptOutSelf,1311,2
20141218,OptOutSelf,1311,2
20141219,OptOutSelf,1312,2
20141220,OptOutSelf,0,2
20141221,OptOutSelf,1313,2
20141222,OptOutSelf,1313,2
20141223,OptOutSelf,252,2
20141224,OptOutSelf,178,2
20141225,OptOutSelf,1313,2
20141226,OptOutSelf,1313,2
20141227,OptOutSelf,1313,2
20141228,OptOutSelf,1313,2
20141229,OptOutSelf,1313,2
20141230,OptOutSelf,1313,2
20141231,OptOutSelf,1313,2
20141210,PaperToWeb,0,2
20141211,PaperToWeb,0,2
20141212,PaperToWeb,0,2
20141213,PaperToWeb,0,2
20141214,PaperToWeb,0,2
20141215,PaperToWeb,0,2
20141216,PaperToWeb,0,2
20141217,PaperToWeb,0,2
20141218,PaperToWeb,0,2
20141219,PaperToWeb,0,2
20141220,PaperToWeb,0,2
20141221,PaperToWeb,0,2
20141222,PaperToWeb,0,2
20141223,PaperToWeb,0,2
20141224,PaperToWeb,0,2
20141225,PaperToWeb,0,2
20141226,PaperToWeb,0,2
20141227,PaperToWeb,0,2
20141228,PaperToWeb,0,2
20141229,PaperToWeb,0,2
20141230,PaperToWeb,0,2
20141231,PaperToWeb,0,2
20141210,ProgramReferred,0,2
20141211,ProgramReferred,0,2
20141212,ProgramReferred,0,2
20141213,ProgramReferred,0,2
20141214,ProgramReferred,0,2
20141215,ProgramReferred,0,2
20141216,ProgramReferred,0,2
20141217,ProgramReferred,0,2
20141218,ProgramReferred,0,2
20141219,ProgramReferred,0,2
20141220,ProgramReferred,0,2
20141221,ProgramReferred,0,2
20141222,ProgramReferred,0,2
20141223,ProgramReferred,0,2
20141224,ProgramReferred,0,2
20141225,ProgramReferred,0,2
20141226,ProgramReferred,0,2
20141227,ProgramReferred,0,2
20141228,ProgramReferred,0,2
20141229,ProgramReferred,0,2
20141230,ProgramReferred,0,2
20141231,ProgramReferred,0,2
20141210,ProgramVerified,0,2
20141211,ProgramVerified,0,2
20141212,ProgramVerified,0,2
20141213,ProgramVerified,0,2
20141214,ProgramVerified,0,2
20141215,ProgramVerified,0,2
20141216,ProgramVerified,0,2
20141217,ProgramVerified,0,2
20141218,ProgramVerified,0,2
20141219,ProgramVerified,0,2
20141220,ProgramVerified,0,2
20141221,ProgramVerified,0,2
20141222,ProgramVerified,0,2
20141223,ProgramVerified,0,2
20141224,ProgramVerified,0,2
20141225,ProgramVerified,0,2
20141226,ProgramVerified,0,2
20141227,ProgramVerified,0,2
20141228,ProgramVerified,0,2
20141229,ProgramVerified,0,2
20141230,ProgramVerified,0,2
20141231,ProgramVerified,0,2
20141210,RewardRedeemed,0,2
20141211,RewardRedeemed,0,2
20141212,RewardRedeemed,0,2
20141213,RewardRedeemed,0,2
20141214,RewardRedeemed,0,2
20141215,RewardRedeemed,0,2
20141216,RewardRedeemed,0,2
20141217,RewardRedeemed,0,2
20141218,RewardRedeemed,0,2
20141219,RewardRedeemed,0,2
20141220,RewardRedeemed,0,2
20141221,RewardRedeemed,0,2
20141222,RewardRedeemed,0,2
20141223,RewardRedeemed,0,2
20141224,RewardRedeemed,0,2
20141225,RewardRedeemed,0,2
20141226,RewardRedeemed,0,2
20141227,RewardRedeemed,0,2
20141228,RewardRedeemed,0,2
20141229,RewardRedeemed,0,2
20141230,RewardRedeemed,0,2
20141231,RewardRedeemed,0,2
20141210,TipCompleted,1,2
20141211,TipCompleted,4,2
20141212,TipCompleted,17,2
20141213,TipCompleted,3,2
20141214,TipCompleted,2,2
20141215,TipCompleted,1,2
20141216,TipCompleted,1,2
20141217,TipCompleted,0,2
20141218,TipCompleted,21,2
20141219,TipCompleted,4,2
20141220,TipCompleted,2,2
20141221,TipCompleted,3,2
20141222,TipCompleted,3,2
20141223,TipCompleted,8,2
20141224,TipCompleted,3,2
20141225,TipCompleted,2,2
20141226,TipCompleted,3,2
20141227,TipCompleted,2,2
20141228,TipCompleted,0,2
20141229,TipCompleted,2,2
20141230,TipCompleted,2,2
20141231,TipCompleted,15,2
20141210,Unsubscribed,0,2
20141211,Unsubscribed,0,2
20141212,Unsubscribed,0,2
20141213,Unsubscribed,0,2
20141214,Unsubscribed,0,2
20141215,Unsubscribed,0,2
20141216,Unsubscribed,0,2
20141217,Unsubscribed,0,2
20141218,Unsubscribed,0,2
20141219,Unsubscribed,0,2
20141220,Unsubscribed,0,2
20141221,Unsubscribed,0,2
20141222,Unsubscribed,0,2
20141223,Unsubscribed,0,2
20141224,Unsubscribed,0,2
20141225,Unsubscribed,0,2
20141226,Unsubscribed,0,2
20141227,Unsubscribed,0,2
20141228,Unsubscribed,0,2
20141229,Unsubscribed,0,2
20141230,Unsubscribed,0,2
